                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9418,                 5.3084,                 4.3505,                      0,                      0,                      0,                      0,                 4.0806,                 5.5197,                 4.1591,                  4e-06,                  4e-06,                  4e-06
                      2,                  4.221,                  5.401,                  4.299,                      0,                      0,                      0,                      0,                 4.0808,                 5.5193,                 4.1593,             1.1881e-05,             1.1881e-05,             1.1881e-05
                      3,                 4.0506,                 5.4951,                 4.4028,                      0,                      0,                      0,                      0,                  4.081,                  5.519,                 4.1595,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      4,                 4.3991,                 5.3199,                 4.3234,                      0,                      0,                      0,                      0,                 4.0811,                 5.5188,                 4.1596,             2.7168e-05,             2.7168e-05,             2.7168e-05
                      5,                  4.068,                 5.4058,                 4.1985,                      0,                      0,                      0,                      0,                 4.0812,                 5.5187,                 4.1597,             3.4574e-05,             3.4574e-05,             3.4574e-05
                      6,                 4.1814,                 5.3922,                 4.4033,                      0,                      0,                      0,                      0,                 4.0813,                 5.5186,                 4.1598,             4.1822e-05,             4.1822e-05,             4.1822e-05
                      7,                  4.444,                 5.3725,                 4.3412,                      0,                      0,                      0,                      0,                 4.0815,                 5.5188,                   4.16,             4.8911e-05,             4.8911e-05,             4.8911e-05
                      8,                 4.2463,                 5.5083,                 4.3186,                      0,                      0,                      0,                      0,                 4.0816,                 5.5192,                   4.16,             5.5842e-05,             5.5842e-05,             5.5842e-05
                      9,                 4.3742,                 5.4953,                  4.313,                      0,                      0,                      0,                      0,                 4.0817,                 5.5194,                 4.1601,             6.2614e-05,             6.2614e-05,             6.2614e-05
                     10,                 3.9797,                 5.4567,                 4.2246,                      0,                      0,                      0,                      0,                 4.0818,                 5.5201,                 4.1602,             6.9228e-05,             6.9228e-05,             6.9228e-05
                     11,                  4.436,                 5.3797,                 4.3003,                      0,                      0,                      0,                      0,                  4.082,                  5.521,                 4.1603,             7.5684e-05,             7.5684e-05,             7.5684e-05
                     12,                 4.0815,                 5.3077,                 4.2382,                      0,                      0,                      0,                      0,                 4.0822,                  5.522,                 4.1605,             8.1981e-05,             8.1981e-05,             8.1981e-05
                     13,                 3.8616,                 5.2332,                 4.2567,                      0,                      0,                      0,                      0,                 4.0815,                 5.5247,                 4.1605,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                 4.3831,                 5.4636,                 4.3213,                      0,                      0,                      0,                      0,                 4.0817,                 5.5262,                 4.1605,               9.41e-05,               9.41e-05,               9.41e-05
