                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4652,                 2.4211,                 3.0576,                0.66504,                0.23834,                0.21514,                0.05173,                 2.5474,                 3.8356,                 3.5214,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.5823,                  2.477,                 3.2678,                0.28178,                   0.24,                0.13829,                0.03524,                 2.5368,                 3.8146,                 3.5044,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.3099,                  2.354,                 3.0629,                0.16579,                    0.1,                0.07445,                0.02141,                 2.6096,                 3.8672,                 3.7172,               0.001307,               0.001307,               0.001307
                     38,                 2.5305,                 2.2873,                 3.0641,                0.14254,                   0.14,                0.10243,                0.02927,                 2.4147,                 3.7167,                   3.51,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.3457,                 2.3612,                 2.9962,                0.29596,                    0.5,                0.23376,                0.07832,                 2.1599,                 3.1675,                 3.2308,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.4149,                 2.2412,                 3.0787,                0.18511,                    0.5,                 0.2063,                0.07549,                 2.1679,                  3.461,                 3.4133,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.3082,                 2.2437,                 3.0334,                0.26606,                    0.3,                0.22851,                  0.069,                 2.2239,                 3.2004,                  3.601,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0883,                 2.0979,                 2.8928,                0.29135,                   0.32,                 0.2702,                0.08408,                 2.1286,                 2.9929,                 3.2541,               0.001208,               0.001208,               0.001208
                     43,                 2.4318,                 2.2209,                 2.7886,                0.54349,                   0.62,                0.47431,                0.20137,                 1.9747,                 2.6156,                 2.9191,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.1068,                 2.0362,                 2.8266,                 0.5229,                   0.78,                0.59851,                0.26523,                 1.9402,                 2.2067,                 2.7256,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.2329,                 2.0885,                 2.9005,                0.52055,                   0.66,                0.63643,                0.26364,                 2.0894,                 2.1675,                 2.8235,              0.0011486,              0.0011486,              0.0011486
