                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1586,                 5.6294,                 4.3177,                      0,                      0,                      0,                      0,                 3.9512,                 5.4841,                  4.159,                  4e-06,                  4e-06,                  4e-06
                      2,                 3.7869,                 5.5777,                 4.3534,                      0,                      0,                      0,                      0,                 3.9511,                 5.4837,                 4.1592,             1.0812e-05,             1.0812e-05,             1.0812e-05
                      3,                  4.052,                 5.5194,                 4.3346,                      0,                      0,                      0,                      0,                  3.951,                 5.4833,                 4.1593,              1.604e-05,              1.604e-05,              1.604e-05
                      4,                 4.1945,                 5.6149,                 4.2534,                      0,                      0,                      0,                      0,                  3.951,                 5.4832,                 4.1594,             1.9684e-05,             1.9684e-05,             1.9684e-05
                      5,                 4.1697,                 5.5686,                 4.3256,                      0,                      0,                      0,                      0,                 3.9509,                  5.483,                 4.1595,             2.1744e-05,             2.1744e-05,             2.1744e-05
                      6,                 3.8262,                  5.541,                 4.3266,                      0,                      0,                      0,                      0,                 3.9508,                 5.4829,                 4.1596,              2.222e-05,              2.222e-05,              2.222e-05
                      7,                  4.074,                  5.549,                 4.3556,                      0,                      0,                      0,                      0,                 3.9506,                 5.4829,                 4.1597,             2.1112e-05,             2.1112e-05,             2.1112e-05
                      8,                 3.8265,                 5.4005,                 4.3022,                      0,                      0,                      0,                      0,                 3.9505,                  5.483,                 4.1599,              1.842e-05,              1.842e-05,              1.842e-05
                      9,                 4.0169,                 5.6158,                 4.3326,                      0,                      0,                      0,                      0,                 3.9505,                 5.4831,                 4.1599,             1.4144e-05,             1.4144e-05,             1.4144e-05
                     10,                 4.2039,                 5.4027,                 4.3609,                      0,                      0,                      0,                      0,                 3.9503,                 5.4833,                 4.1601,              8.284e-06,              8.284e-06,              8.284e-06
