                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9891,                 5.5752,                 4.3828,                      0,                      0,                      0,                      0,                 4.0807,                 5.5197,                 4.1591,                  4e-06,                  4e-06,                  4e-06
                      2,                 4.0838,                 5.4439,                 4.3302,                      0,                      0,                      0,                      0,                 4.0808,                 5.5193,                 4.1593,             1.0812e-05,             1.0812e-05,             1.0812e-05
                      3,                 3.8596,                 5.4415,                 4.3133,                      0,                      0,                      0,                      0,                  4.081,                  5.519,                 4.1595,              1.604e-05,              1.604e-05,              1.604e-05
                      4,                 3.8045,                 5.4445,                 4.3406,                      0,                      0,                      0,                      0,                 4.0811,                 5.5189,                 4.1597,             1.9684e-05,             1.9684e-05,             1.9684e-05
                      5,                 4.4956,                 5.4972,                 4.3507,                      0,                      0,                      0,                      0,                 4.0812,                 5.5187,                 4.1599,             2.1744e-05,             2.1744e-05,             2.1744e-05
                      6,                 4.0565,                 5.4252,                 4.2793,                      0,                      0,                      0,                      0,                 4.0813,                 5.5186,                   4.16,              2.222e-05,              2.222e-05,              2.222e-05
                      7,                 4.5487,                 5.6683,                 4.3758,                      0,                      0,                      0,                      0,                 4.0815,                 5.5186,                 4.1602,             2.1112e-05,             2.1112e-05,             2.1112e-05
                      8,                 4.0521,                 5.4043,                 4.3518,                      0,                      0,                      0,                      0,                 4.0816,                 5.5188,                 4.1604,              1.842e-05,              1.842e-05,              1.842e-05
                      9,                 3.9099,                  5.373,                 4.3415,                      0,                      0,                      0,                      0,                 4.0816,                 5.5189,                 4.1605,             1.4144e-05,             1.4144e-05,             1.4144e-05
                     10,                 4.3272,                 6.3046,                 4.5695,                      0,                      0,                      0,                      0,                 4.0809,                 5.5205,                 4.1607,              8.284e-06,              8.284e-06,              8.284e-06
